,ts_code,trade_time,open,high,low,close,vol,amount,trade_date,pre_close
177,000001.SZ,2013-01-04 10:33:00,16.12,16.13,16.07,16.13,456078.0,7351631.0,20130104,16.12
178,000001.SZ,2013-01-04 10:32:00,16.19,16.19,16.12,16.12,843283.0,13622974.0,20130104,16.19
179,000001.SZ,2013-01-04 10:31:00,16.25,16.25,16.19,16.19,1153214.0,18726728.0,20130104,16.26
180,000001.SZ,2013-01-04 10:30:00,16.28,16.28,16.25,16.26,438773.0,7138710.0,20130104,16.29
181,000001.SZ,2013-01-04 10:29:00,16.3,16.3,16.28,16.29,50022.0,814441.0,20130104,16.3
182,000001.SZ,2013-01-04 10:28:00,16.29,16.3,16.29,16.3,240598.0,3920985.0,20130104,16.29
183,000001.SZ,2013-01-04 10:27:00,16.3,16.3,16.28,16.29,70812.0,1153629.0,20130104,16.3
184,000001.SZ,2013-01-04 10:26:00,16.28,16.3,16.28,16.3,63218.0,1029680.0,20130104,16.28
185,000001.SZ,2013-01-04 10:25:00,16.27,16.28,16.27,16.28,121322.0,1975484.0,20130104,16.28
186,000001.SZ,2013-01-04 10:24:00,16.27,16.28,16.26,16.28,96599.0,1571243.0,20130104,16.27
187,000001.SZ,2013-01-04 10:23:00,16.27,16.27,16.26,16.27,221044.0,3595376.0,20130104,16.27
188,000001.SZ,2013-01-04 10:22:00,16.27,16.27,16.26,16.27,228000.0,3709211.0,20130104,16.26
189,000001.SZ,2013-01-04 10:21:00,16.24,16.26,16.24,16.26,500143.0,8127624.0,20130104,16.24
190,000001.SZ,2013-01-04 10:20:00,16.25,16.25,16.24,16.24,224600.0,3649021.0,20130104,16.24
191,000001.SZ,2013-01-04 10:19:00,16.24,16.25,16.23,16.24,95222.0,1546446.0,20130104,16.23
192,000001.SZ,2013-01-04 10:18:00,16.23,16.24,16.23,16.23,62805.0,1019534.0,20130104,16.24
193,000001.SZ,2013-01-04 10:17:00,16.23,16.25,16.22,16.24,244937.0,3975187.0,20130104,16.23
194,000001.SZ,2013-01-04 10:16:00,16.24,16.25,16.23,16.23,308352.0,5006505.0,20130104,16.24
195,000001.SZ,2013-01-04 10:15:00,16.25,16.25,16.24,16.24,167470.0,2719919.0,20130104,16.25
196,000001.SZ,2013-01-04 10:14:00,16.25,16.25,16.23,16.25,125499.0,2037647.0,20130104,16.22
197,000001.SZ,2013-01-04 10:13:00,16.23,16.23,16.22,16.22,215921.0,3502826.0,20130104,16.22
198,000001.SZ,2013-01-04 10:12:00,16.22,16.24,16.22,16.22,47400.0,769201.0,20130104,16.22
199,000001.SZ,2013-01-04 10:11:00,16.23,16.24,16.22,16.22,46835.0,759950.0,20130104,16.23
200,000001.SZ,2013-01-04 10:10:00,16.22,16.23,16.21,16.23,132819.0,2155107.0,20130104,16.23
201,000001.SZ,2013-01-04 10:09:00,16.21,16.23,16.21,16.23,183727.0,2979408.0,20130104,16.22
202,000001.SZ,2013-01-04 10:08:00,16.21,16.22,16.21,16.22,99450.0,1612500.0,20130104,16.22
203,000001.SZ,2013-01-04 10:07:00,16.23,16.23,16.21,16.22,279160.0,4528022.0,20130104,16.23
204,000001.SZ,2013-01-04 10:06:00,16.23,16.23,16.22,16.23,176394.0,2862532.0,20130104,16.24
205,000001.SZ,2013-01-04 10:05:00,16.23,16.25,16.22,16.24,105000.0,1704768.0,20130104,16.23
206,000001.SZ,2013-01-04 10:04:00,16.23,16.24,16.23,16.23,141464.0,2296701.0,20130104,16.24
207,000001.SZ,2013-01-04 10:03:00,16.25,16.25,16.21,16.24,344764.0,5601949.0,20130104,16.28
208,000001.SZ,2013-01-04 10:02:00,16.29,16.29,16.27,16.28,231025.0,3759794.0,20130104,16.28
209,000001.SZ,2013-01-04 10:01:00,16.3,16.3,16.28,16.28,247015.0,4024331.0,20130104,16.3
210,000001.SZ,2013-01-04 10:00:00,16.31,16.31,16.3,16.3,256746.0,4185638.0,20130104,16.31
211,000001.SZ,2013-01-04 09:59:00,16.3,16.35,16.3,16.31,439422.0,7175677.0,20130104,16.3
212,000001.SZ,2013-01-04 09:58:00,16.31,16.33,16.3,16.3,575784.0,9391109.0,20130104,16.31
213,000001.SZ,2013-01-04 09:57:00,16.3,16.32,16.3,16.31,132272.0,2157047.0,20130104,16.3
214,000001.SZ,2013-01-04 09:56:00,16.3,16.31,16.28,16.3,182738.0,2978319.0,20130104,16.3
215,000001.SZ,2013-01-04 09:55:00,16.29,16.31,16.27,16.3,439760.0,7172590.0,20130104,16.29
216,000001.SZ,2013-01-04 09:54:00,16.29,16.3,16.29,16.29,168350.0,2743409.0,20130104,16.29
217,000001.SZ,2013-01-04 09:53:00,16.27,16.3,16.26,16.29,535196.0,8713302.0,20130104,16.27
218,000001.SZ,2013-01-04 09:52:00,16.23,16.27,16.23,16.27,342947.0,5573379.0,20130104,16.24
219,000001.SZ,2013-01-04 09:51:00,16.22,16.24,16.22,16.24,179523.0,2913703.0,20130104,16.23
220,000001.SZ,2013-01-04 09:50:00,16.2,16.24,16.19,16.23,143710.0,2332288.0,20130104,16.2
221,000001.SZ,2013-01-04 09:49:00,16.19,16.2,16.15,16.2,157668.0,2550981.0,20130104,16.19
222,000001.SZ,2013-01-04 09:48:00,16.15,16.2,16.15,16.19,275390.0,4459498.0,20130104,16.14
223,000001.SZ,2013-01-04 09:47:00,16.12,16.17,16.12,16.14,289278.0,4674984.0,20130104,16.15
224,000001.SZ,2013-01-04 09:46:00,16.23,16.23,16.1,16.15,517061.0,8364489.0,20130104,16.24
225,000001.SZ,2013-01-04 09:45:00,16.27,16.27,16.24,16.24,220100.0,3577877.0,20130104,16.26
226,000001.SZ,2013-01-04 09:44:00,16.3,16.3,16.26,16.26,284776.0,4636977.0,20130104,16.3
227,000001.SZ,2013-01-04 09:43:00,16.31,16.31,16.29,16.3,200100.0,3262015.0,20130104,16.3
228,000001.SZ,2013-01-04 09:42:00,16.3,16.32,16.29,16.3,362318.0,5908795.0,20130104,16.31
229,000001.SZ,2013-01-04 09:41:00,16.34,16.34,16.3,16.31,1047021.0,17075965.0,20130104,16.34
230,000001.SZ,2013-01-04 09:40:00,16.33,16.35,16.32,16.34,696628.0,11376051.0,20130104,16.33
231,000001.SZ,2013-01-04 09:39:00,16.37,16.4,16.3,16.33,771293.0,12607041.0,20130104,16.37
232,000001.SZ,2013-01-04 09:38:00,16.41,16.41,16.31,16.37,1607832.0,26329233.0,20130104,16.43
233,000001.SZ,2013-01-04 09:37:00,16.41,16.45,16.39,16.43,1102873.0,18100419.0,20130104,16.39
234,000001.SZ,2013-01-04 09:36:00,16.33,16.39,16.32,16.39,728217.0,11917609.0,20130104,16.32
235,000001.SZ,2013-01-04 09:35:00,16.32,16.35,16.31,16.32,205298.0,3351734.0,20130104,16.34
236,000001.SZ,2013-01-04 09:34:00,16.34,16.35,16.29,16.34,622092.0,10152600.0,20130104,16.32
237,000001.SZ,2013-01-04 09:33:00,16.29,16.32,16.28,16.32,435123.0,7090173.0,20130104,16.26
238,000001.SZ,2013-01-04 09:32:00,16.22,16.29,16.22,16.26,365379.0,5937928.0,20130104,16.2
239,000001.SZ,2013-01-04 09:31:00,16.32,16.32,16.1,16.2,959906.0,15599350.0,20130104,16.32
240,000001.SZ,2013-01-04 09:30:00,16.32,16.32,16.32,16.32,663000.0,10820160.0,20130104,hahah
